Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2020 JIF
CA-A CANCER JOURNAL FOR CLINICIANS,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,ONCOLOGY - SCIE(Q1),507.723,508.702
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,CELL BIOLOGY - SCIE(Q1),93.6,94.444
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",90.587,91.245
NATURE REVIEWS DRUG DISCOVERY,NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,PHARMACOLOGY & PHARMACY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),83.847,84.694
LANCET,LANCET,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",78.109,79.321
Nature Reviews Clinical Oncology,Nature Reviews Clinical Oncology,1759-4774,1759-4782,ONCOLOGY - SCIE(Q1),66.289,66.675
Nature Reviews Materials,Nature Reviews Materials,2058-8437,2058-8437,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",65.89,66.308
Nature Energy,Nature Energy,2058-7546,2058-7546,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",60.078,60.858
NATURE REVIEWS CANCER,NATURE REVIEWS CANCER,1474-175X,1474-1768,ONCOLOGY - SCIE(Q1),60.337,60.716
NATURE REVIEWS MICROBIOLOGY,NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,MICROBIOLOGY - SCIE(Q1),60.174,60.633
CHEMICAL REVIEWS,CHEMICAL REVIEWS,0009-2665,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",60.042,60.622
MMWR Surveillance Summaries,MMWR Surveillance Summaries,1545-8636,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",58.538,58.769
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",55.146,56.272
MMWR Recommendations and Reports,MMWR Recommendations and Reports,1057-5987,1545-8601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",55.429,55.857
NATURE BIOTECHNOLOGY,NATURE BIOTECHNOLOGY,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),53.724,54.908
CHEMICAL SOCIETY REVIEWS,CHEMICAL SOCIETY REVIEWS,0306-0012,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",54.004,54.564
REVIEWS OF MODERN PHYSICS,REVIEWS OF MODERN PHYSICS,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",54.405,54.494
NATURE MEDICINE,NATURE MEDICINE,1078-8956,1546-170X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)",53.026,53.44
NATURE REVIEWS GENETICS,NATURE REVIEWS GENETICS,1471-0056,1471-0064,GENETICS & HEREDITY - SCIE(Q1),52.632,53.242
NATURE REVIEWS IMMUNOLOGY,NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741,IMMUNOLOGY - SCIE(Q1),52.731,53.106
Nature Reviews Disease Primers,Nature Reviews Disease Primers,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",52.244,52.329
NATURE,NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),49.315,49.962
World Psychiatry,World Psychiatry,1723-8617,2051-5545,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),45.5,49.548
World Psychiatry,World Psychiatry,1723-8617,2051-5545,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),45.5,49.548
SCIENCE,SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),47.238,47.728
Nature Reviews Gastroenterology & Hepatology,Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),46.176,46.802
JOURNAL OF CLINICAL ONCOLOGY,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,ONCOLOGY - SCIE(Q1),43.787,44.544
LANCET NEUROLOGY,LANCET NEUROLOGY,1474-4422,1474-4465,CLINICAL NEUROLOGY - SCIE(Q1),43.623,44.182
NATURE MATERIALS,NATURE MATERIALS,1476-1122,1476-4660,"CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",43.542,43.841
Nature Reviews Endocrinology,Nature Reviews Endocrinology,1759-5029,1759-5037,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),42.886,43.33
Nature Reviews Neurology,Nature Reviews Neurology,1759-4758,1759-4766,CLINICAL NEUROLOGY - SCIE(Q1),42.516,42.937
Nature Catalysis,Nature Catalysis,2520-1158,2520-1158,"CHEMISTRY, PHYSICAL - SCIE(Q1)",41.28,41.813
CELL,CELL,0092-8674,1097-4172,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),40.975,41.582
LANCET ONCOLOGY,LANCET ONCOLOGY,1470-2045,1474-5488,ONCOLOGY - SCIE(Q1),40.837,41.316
Joule,Joule,2542-4351,2542-4351,"ENERGY & FUELS - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",40.46,41.248
Living Reviews in Relativity,Living Reviews in Relativity,2367-3613,1433-8351,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",40.214,40.429
BMJ-British Medical Journal,BMJ-British Medical Journal,1756-1833,1756-1833,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",38.59,39.89
PROGRESS IN MATERIALS SCIENCE,PROGRESS IN MATERIALS SCIENCE,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",39.366,39.58
Cancer Discovery,Cancer Discovery,2159-8274,2159-8290,ONCOLOGY - SCIE(Q1),38.848,39.397
Nature Nanotechnology,Nature Nanotechnology,1748-3387,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",38.84,39.213
Nature Photonics,Nature Photonics,1749-4885,1749-4893,"OPTICS - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",38.197,38.771
Energy & Environmental Science,Energy & Environmental Science,1754-5692,1754-5706,"ENGINEERING, CHEMICAL - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",37.651,38.532
NATURE GENETICS,NATURE GENETICS,1061-4036,1546-1718,GENETICS & HEREDITY - SCIE(Q1),37.548,38.33
Psychological Science in the Public Interest,Psychological Science in the Public Interest,1529-1006,1539-6053,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",37.714,37.857
PHYSIOLOGICAL REVIEWS,PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210,PHYSIOLOGY - SCIE(Q1),37.226,37.312
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",36.0,36.214
NATURE REVIEWS NEUROSCIENCE,NATURE REVIEWS NEUROSCIENCE,1471-003X,1471-0048,NEUROSCIENCES - SCIE(Q1),34.6,34.87
Nature Reviews Chemistry,Nature Reviews Chemistry,N/A,2397-3358,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",33.872,34.035
Nature Electronics,Nature Electronics,2520-1131,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",32.805,33.686
ANNALS OF ONCOLOGY,ANNALS OF ONCOLOGY,0923-7534,1569-8041,ONCOLOGY - SCIE(Q1),32.472,32.976
Nature Reviews Cardiology,Nature Reviews Cardiology,1759-5002,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),31.86,32.419
Lancet Diabetes & Endocrinology,Lancet Diabetes & Endocrinology,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),31.455,32.069
JAMA Oncology,JAMA Oncology,2374-2437,2374-2445,ONCOLOGY - SCIE(Q1),31.232,31.777
IMMUNITY,IMMUNITY,1074-7613,1097-4180,IMMUNOLOGY - SCIE(Q1),31.033,31.745
CANCER CELL,CANCER CELL,1535-6108,1878-3686,ONCOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1),31.308,31.743
Nature Reviews Physics,Nature Reviews Physics,N/A,2522-5820,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",30.841,31.068
Materials Today,Materials Today,1369-7021,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",30.703,31.041
