Rank,Full Journal Title,JCR Abbreviated Title,Category,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Eigenfactor Score,Article Influence Score,Average Journal Impact Factor Percentile
468,JOURNAL OF CATALYSIS,J CATAL,"CHEMISTRY, PHYSICAL",0021-9517,"45,347",6.759,6.256,7.502,1.488,0.034020,1.595,88.917
469,Annual Review of Nuclear and Particle Science,ANNU REV NUCL PART S,"PHYSICS, NUCLEAR",0163-8998,"2,433",6.756,6.683,8.052,0.455,0.005260,3.980,91.940
469,Annual Review of Nuclear and Particle Science,ANNU REV NUCL PART S,"PHYSICS, PARTICLES & FIELDS",0163-8998,"2,433",6.756,6.683,8.052,0.455,0.005260,3.980,91.940
470,Cochrane Database of Systematic Reviews,COCHRANE DB SYST REV,"MEDICINE, GENERAL & INTERNAL",1469-493X,"62,332",6.754,6.312,7.669,1.363,0.167260,2.620,92.532
470,JOURNAL OF INTERNAL MEDICINE,J INTERN MED,"MEDICINE, GENERAL & INTERNAL",0954-6820,"10,327",6.754,6.656,7.018,2.262,0.016070,2.365,92.532
470,PROGRESS IN CARDIOVASCULAR DISEASES,PROG CARDIOVASC DIS,CARDIAC & CARDIOVASCULAR SYSTEMS,0033-0620,"3,733",6.754,5.366,5.283,0.909,0.008030,1.734,89.453
473,CHEMICAL ENGINEERING JOURNAL,CHEM ENG J,"ENGINEERING, CHEMICAL",1385-8947,"73,657",6.735,5.809,6.496,2.188,0.104380,1.084,95.128
473,CHEMICAL ENGINEERING JOURNAL,CHEM ENG J,"ENGINEERING, ENVIRONMENTAL",1385-8947,"73,657",6.735,5.809,6.496,2.188,0.104380,1.084,95.128
474,CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,CELL BIOLOGY,1420-682X,"23,341",6.721,6.619,6.134,1.663,0.041340,2.013,85.711
474,CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,BIOCHEMISTRY & MOLECULAR BIOLOGY,1420-682X,"23,341",6.721,6.619,6.134,1.663,0.041340,2.013,85.711
475,CURRENT OPINION IN MICROBIOLOGY,CURR OPIN MICROBIOL,MICROBIOLOGY,1369-5274,"9,437",6.710,6.550,6.519,1.221,0.018220,2.458,90.800
476,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,BUSINESS,0001-4273,"34,781",6.700,6.263,11.254,1.044,0.026830,5.319,96.841
476,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,MANAGEMENT,0001-4273,"34,781",6.700,6.263,11.254,1.044,0.026830,5.319,96.841
477,Polymer Reviews,POLYM REV,POLYMER SCIENCE,1558-3724,"1,731",6.690,6.690,7.411,2.308,0.001860,1.505,98.276
478,mBio,MBIO,MICROBIOLOGY,2150-7511,"12,940",6.689,6.409,7.140,1.244,0.059030,2.731,90.000
479,JAMA Ophthalmology,JAMA OPHTHALMOL,OPHTHALMOLOGY,2168-6165,"4,063",6.669,6.177,5.818,1.412,0.020240,2.232,95.763
480,MODERN PATHOLOGY,MODERN PATHOL,PATHOLOGY,0893-3952,"13,649",6.655,6.319,6.178,1.756,0.022670,1.949,96.835
481,ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,ENVIRONMENTAL SCIENCES,0013-936X,"156,556",6.653,5.788,7.250,1.064,0.183730,1.646,94.322
481,ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,"ENGINEERING, ENVIRONMENTAL",0013-936X,"156,556",6.653,5.788,7.250,1.064,0.183730,1.646,94.322
482,Information Fusion,INFORM FUSION,"COMPUTER SCIENCE, THEORY & METHODS",1566-2535,"3,303",6.639,5.946,6.574,3.571,0.006130,1.530,95.460
482,Information Fusion,INFORM FUSION,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1566-2535,"3,303",6.639,5.946,6.574,3.571,0.006130,1.530,95.460
483,Journal of Crohns & Colitis,J CROHNS COLITIS,GASTROENTEROLOGY & HEPATOLOGY,1873-9946,"6,643",6.637,6.077,6.992,2.828,0.023630,2.356,88.125
484,Astrophysical Journal Letters,ASTROPHYS J LETT,ASTRONOMY & ASTROPHYSICS,2041-8205,"29,851",6.634,6.206,5.572,2.077,0.113020,2.551,88.636
485,CRITICAL CARE MEDICINE,CRIT CARE MED,CRITICAL CARE MEDICINE,0090-3493,"39,873",6.630,6.092,7.153,3.125,0.055420,2.429,86.364
486,ENDOSCOPY,ENDOSCOPY,SURGERY,0013-726X,"10,185",6.629,5.996,6.231,2.065,0.017400,1.812,92.313
486,ENDOSCOPY,ENDOSCOPY,GASTROENTEROLOGY & HEPATOLOGY,0013-726X,"10,185",6.629,5.996,6.231,2.065,0.017400,1.812,92.313
487,GENOMICS PROTEOMICS & BIOINFORMATICS,GENOM PROTEOM BIOINF,GENETICS & HEREDITY,1672-0229,"1,225",6.615,6.500,Not Available,1.243,0.003480,3.238,90.936
488,IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1556-603X,980,6.611,6.583,5.000,0.412,0.002010,1.658,93.561
489,TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,FOOD SCIENCE & TECHNOLOGY,0924-2244,"11,912",6.609,6.243,7.819,1.087,0.011510,1.644,98.120
490,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1134-3060,"1,523",6.605,6.442,6.915,1.447,0.003070,2.718,98.781
490,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1134-3060,"1,523",6.605,6.442,6.915,1.447,0.003070,2.718,98.781
490,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,"ENGINEERING, MULTIDISCIPLINARY",1134-3060,"1,523",6.605,6.442,6.915,1.447,0.003070,2.718,98.781
491,DESALINATION,DESALINATION,"ENGINEERING, CHEMICAL",0011-9164,"38,360",6.603,5.333,6.255,1.334,0.029360,1.068,96.429
491,DESALINATION,DESALINATION,WATER RESOURCES,0011-9164,"38,360",6.603,5.333,6.255,1.334,0.029360,1.068,96.429
492,BLOOD REVIEWS,BLOOD REV,HEMATOLOGY,0268-960X,"2,810",6.600,6.516,6.544,2.042,0.006010,2.263,90.845
492,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,"CHEMISTRY, PHYSICAL",0161-4940,"3,208",6.600,6.600,8.521,1.5,0.001230,1.865,81.164
494,JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,"ENGINEERING, CHEMICAL",0376-7388,"63,578",6.578,5.196,6.656,1.545,0.060530,1.189,95.461
494,JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,POLYMER SCIENCE,0376-7388,"63,578",6.578,5.196,6.656,1.545,0.060530,1.189,95.461
495,AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,NUTRITION & DIETETICS,0002-9165,"58,213",6.549,6.222,7.685,1.57,0.055760,2.461,95.679
496,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,"PHYSICS, APPLIED",1359-0286,"3,736",6.548,6.411,7.105,1.786,0.005230,2.210,85.364
496,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,MATERIALS SCIENCE,1359-0286,"3,736",6.548,6.411,7.105,1.786,0.005230,2.210,85.364
496,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,"PHYSICS, CONDENSED MATTER",1359-0286,"3,736",6.548,6.411,7.105,1.786,0.005230,2.210,85.364
497,CLINICAL PHARMACOLOGY & THERAPEUTICS,CLIN PHARMACOL THER,PHARMACOLOGY & PHARMACY,0009-9236,"15,826",6.544,5.925,6.812,2.497,0.019880,2.055,95.211
497,IUCrJ,IUCRJ,"CHEMISTRY, MULTIDISCIPLINARY",2052-2525,"1,189",6.544,5.845,6.575,1.813,0.006150,2.790,87.555
497,IUCrJ,IUCRJ,CRYSTALLOGRAPHY,2052-2525,"1,189",6.544,5.845,6.575,1.813,0.006150,2.790,87.555
497,IUCrJ,IUCRJ,MATERIALS SCIENCE,2052-2525,"1,189",6.544,5.845,6.575,1.813,0.006150,2.790,87.555
Psychiatry-SSCI,NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,NEUROSCIENCES,0893-133X,"24,537",6.544,6.278,6.782,2.191,0.042870,2.271,93.555
497,NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,NEUROSCIENCES,0893-133X,"24,537",6.544,6.278,6.782,2.191,0.042870,2.271,93.555
497,NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,PHARMACOLOGY & PHARMACY,0893-133X,"24,537",6.544,6.278,6.782,2.191,0.042870,2.271,93.555
500,CURRENT OPINION IN NEUROBIOLOGY,CURR OPIN NEUROBIOL,NEUROSCIENCES,0959-4388,"14,190",6.541,6.398,6.917,1.191,0.034670,3.470,91.762
501,CANCER,CANCER-AM CANCER SOC,ONCOLOGY,0008-543X,"68,221",6.537,6.297,6.279,1.42,0.074740,2.265,88.063
501,Stem Cell Reports,STEM CELL REP,CELL BIOLOGY,2213-6711,"4,525",6.537,6.162,7.181,1.07,0.026290,3.262,85.976
501,Stem Cell Reports,STEM CELL REP,CELL & TISSUE ENGINEERING,2213-6711,"4,525",6.537,6.162,7.181,1.07,0.026290,3.262,85.976
503,JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,ECONOMICS,0022-166X,"4,640",6.531,6.375,4.921,0.613,0.010380,4.567,98.862
503,JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,INDUSTRIAL RELATIONS & LABOR,0022-166X,"4,640",6.531,6.375,4.921,0.613,0.010380,4.567,98.862
504,ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,BIOCHEMISTRY & MOLECULAR BIOLOGY,1523-0864,"19,324",6.530,6.245,7.389,1.653,0.032120,1.952,90.071
504,ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,ENDOCRINOLOGY & METABOLISM,1523-0864,"19,324",6.530,6.245,7.389,1.653,0.032120,1.952,90.071
505,ANESTHESIOLOGY,ANESTHESIOLOGY,ANESTHESIOLOGY,0003-3022,"28,896",6.523,6.065,6.546,2.097,0.029600,1.946,98.387
506,Physics of the Dark Universe,PHYS DARK UNIVERSE,ASTRONOMY & ASTROPHYSICS,2212-6864,840,6.509,6.263,6.008,2.08,0.003870,2.307,87.121
507,Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,CARDIAC & CARDIOVASCULAR SYSTEMS,1941-7640,"4,902",6.504,6.188,7.069,1.32,0.019620,2.888,88.672
508,Nanomedicine-Nanotechnology Biology and Medicine,NANOMED-NANOTECHNOL,"MEDICINE, RESEARCH & EXPERIMENTAL",1549-9634,"9,338",6.500,6.320,6.306,1.324,0.015670,1.289,85.455
508,Nanomedicine-Nanotechnology Biology and Medicine,NANOMED-NANOTECHNOL,NANOSCIENCE & NANOTECHNOLOGY,1549-9634,"9,338",6.500,6.320,6.306,1.324,0.015670,1.289,85.455
509,BRITISH JOURNAL OF ANAESTHESIA,BRIT J ANAESTH,ANESTHESIOLOGY,0007-0912,"20,435",6.499,5.573,6.371,2.055,0.026390,1.721,95.161
510,AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,SURGERY,1600-6135,"23,460",6.493,5.844,6.398,2.594,0.051290,2.210,95.625
510,AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,TRANSPLANTATION,1600-6135,"23,460",6.493,5.844,6.398,2.594,0.051290,2.210,95.625
511,ORGANIC LETTERS,ORG LETT,"CHEMISTRY, ORGANIC",1523-7060,"95,762",6.492,5.682,5.778,1.557,0.149960,1.351,95.614
512,CANCER LETTERS,CANCER LETT,ONCOLOGY,0304-3835,"29,311",6.491,6.279,6.192,1.661,0.042280,1.348,87.613
513,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,BUSINESS,1460-8545,"3,297",6.489,6.043,8.941,2.6,0.003540,2.159,96.245
513,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,MANAGEMENT,1460-8545,"3,297",6.489,6.043,8.941,2.6,0.003540,2.159,96.245
514,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,PSYCHIATRY-SSCI,0021-9630,"18,604",6.486,6.162,7.675,1.632,0.023410,2.798,95.073
514,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,PSYCHIATRY-SSCI,0021-9630,"18,604",6.486,6.162,7.675,1.632,0.023410,2.798,95.073
514,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,PSYCHOLOGY,0021-9630,"18,604",6.486,6.162,7.675,1.632,0.023410,2.798,95.073
514,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,"PSYCHOLOGY, DEVELOPMENTAL",0021-9630,"18,604",6.486,6.162,7.675,1.632,0.023410,2.798,95.073
516,PSYCHOLOGICAL METHODS,PSYCHOL METHODS,"PSYCHOLOGY, MULTIDISCIPLINARY",1082-989X,"10,989",6.485,6.318,10.315,2.767,0.012430,5.469,95.185
517,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,CRIT REV CL LAB SCI,MEDICAL LABORATORY TECHNOLOGY,1040-8363,"1,521",6.481,6.442,5.598,0.613,0.002030,1.445,95.000
518,JOURNAL OF ECONOMIC GROWTH,J ECON GROWTH,ECONOMICS,1381-4338,"2,192",6.480,6.280,5.806,0.538,0.004660,5.461,99.292
519,Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,ONCOLOGY,1540-1405,"5,143",6.471,6.371,5.133,1.358,0.017530,1.882,87.162
520,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,"CHEMISTRY, MULTIDISCIPLINARY",2052-5206,"11,143",6.467,6.172,4.173,0.525,0.006040,1.052,85.521
520,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,CRYSTALLOGRAPHY,2052-5206,"11,143",6.467,6.172,4.173,0.525,0.006040,1.052,85.521
521,REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,ENVIRONMENTAL SCIENCES,0034-4257,"44,168",6.457,5.667,7.737,1.522,0.052910,1.977,97.237
521,REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,0034-4257,"44,168",6.457,5.667,7.737,1.522,0.052910,1.977,97.237
521,REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,REMOTE SENSING,0034-4257,"44,168",6.457,5.667,7.737,1.522,0.052910,1.977,97.237
522,PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,ENERGY & FUELS,1062-7995,"8,021",6.456,6.166,5.601,3.574,0.013460,1.320,88.354
522,PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,"PHYSICS, APPLIED",1062-7995,"8,021",6.456,6.166,5.601,3.574,0.013460,1.320,88.354
522,PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,MATERIALS SCIENCE,1062-7995,"8,021",6.456,6.166,5.601,3.574,0.013460,1.320,88.354
523,JOURNAL OF INVESTIGATIVE DERMATOLOGY,J INVEST DERMATOL,DERMATOLOGY,0022-202X,"28,457",6.448,5.857,6.880,2.079,0.038800,2.117,96.032
524,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,IMMUNOLOGY,1080-0549,"2,741",6.442,6.008,5.131,2.154,0.005880,1.438,88.435
524,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,ALLERGY,1080-0549,"2,741",6.442,6.008,5.131,2.154,0.005880,1.438,88.435
525,ECONOMIC GEOGRAPHY,ECON GEOGR,ECONOMICS,0013-0095,"2,840",6.438,6.125,6.854,0.95,0.001940,1.717,98.016
525,ECONOMIC GEOGRAPHY,ECON GEOGR,GEOGRAPHY,0013-0095,"2,840",6.438,6.125,6.854,0.95,0.001940,1.717,98.016
526,Seminars in Immunopathology,SEMIN IMMUNOPATHOL,IMMUNOLOGY,1863-2297,"2,967",6.437,6.328,7.166,2.696,0.009290,2.488,90.527
526,Seminars in Immunopathology,SEMIN IMMUNOPATHOL,PATHOLOGY,1863-2297,"2,967",6.437,6.328,7.166,2.696,0.009290,2.488,90.527
527,JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,ENVIRONMENTAL SCIENCES,0304-3894,"88,496",6.434,6.097,6.513,2.079,0.068520,1.182,92.907
527,JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,"ENGINEERING, ENVIRONMENTAL",0304-3894,"88,496",6.434,6.097,6.513,2.079,0.068520,1.182,92.907
528,Molecular Neurodegeneration,MOL NEURODEGENER,NEUROSCIENCES,1750-1326,"3,489",6.426,6.250,7.077,1.593,0.009850,2.392,91.379
529,CRITICAL CARE,CRIT CARE,CRITICAL CARE MEDICINE,1466-609X,"21,910",6.425,6.088,6.547,0.991,0.046890,1.998,83.333
530,Advances in Cancer Research,ADV CANCER RES,ONCOLOGY,0065-230X,"2,343",6.422,6.344,6.573,0.471,0.003690,1.708,86.712
531,CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,BIOCHEMISTRY & MOLECULAR BIOLOGY,CELL BIOLOGY,"5,668",6.395,6.331,6.686,1.103,0.008050,2.111,84.842
531,CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,BIOCHEMISTRY & MOLECULAR BIOLOGY,1359-6101,"5,668",6.395,6.331,6.686,1.103,0.008050,2.111,84.842
532,Acta Biomaterialia,ACTA BIOMATER,"ENGINEERING, BIOMEDICAL",1742-7061,"30,640",6.383,5.944,7.160,1.46,0.049410,1.432,93.969
532,Acta Biomaterialia,ACTA BIOMATER,"MATERIALS SCIENCE, BIOMATERIALS",1742-7061,"30,640",6.383,5.944,7.160,1.46,0.049410,1.432,93.969
533,Science Signaling,SCI SIGNAL,CELL BIOLOGY,1945-0877,"10,316",6.378,6.287,7.251,1.364,0.037220,3.238,84.408
533,Science Signaling,SCI SIGNAL,BIOCHEMISTRY & MOLECULAR BIOLOGY,1945-0877,"10,316",6.378,6.287,7.251,1.364,0.037220,3.238,84.408
534,ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,MECHANICS,0196-8904,"43,333",6.377,4.685,6.161,1.652,0.055420,1.007,94.922
534,ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,ENERGY & FUELS,0196-8904,"43,333",6.377,4.685,6.161,1.652,0.055420,1.007,94.922
534,ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,THERMODYNAMICS,0196-8904,"43,333",6.377,4.685,6.161,1.652,0.055420,1.007,94.922
535,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ENVIRONMENTAL SCIENCES,0959-3780,"13,945",6.371,5.992,8.897,3.128,0.025640,2.785,96.281
535,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ENVIRONMENTAL STUDIES,0959-3780,"13,945",6.371,5.992,8.897,3.128,0.025640,2.785,96.281
535,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,GEOGRAPHY,0959-3780,"13,945",6.371,5.992,8.897,3.128,0.025640,2.785,96.281
537,Methods in Ecology and Evolution,METHODS ECOL EVOL,ECOLOGY,2041-210X,"8,866",6.363,6.076,9.881,1.448,0.037040,3.754,94.620
538,BULLETIN OF THE WORLD HEALTH ORGANIZATION,B WORLD HEALTH ORGAN,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0042-9686,"15,375",6.361,6.256,7.134,1.184,0.018360,2.889,95.833
539,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WIRES NANOMED NANOBI,"MEDICINE, RESEARCH & EXPERIMENTAL",1939-5116,"2,088",6.350,6.140,5.541,2.2,0.004260,1.339,84.535
539,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WIRES NANOMED NANOBI,NANOSCIENCE & NANOTECHNOLOGY,1939-5116,"2,088",6.350,6.140,5.541,2.2,0.004260,1.339,84.535
540,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1093-7404,"1,665",6.333,5.600,6.590,1.381,0.001750,1.637,95.179
540,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,ENVIRONMENTAL SCIENCES,1093-7404,"1,665",6.333,5.600,6.590,1.381,0.001750,1.637,95.179
540,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,TOXICOLOGY,1093-7404,"1,665",6.333,5.600,6.590,1.381,0.001750,1.637,95.179
541,JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,ENDOCRINOLOGY & METABOLISM,0884-0431,"26,804",6.314,5.795,6.766,1.512,0.036920,2.207,91.259
542,CURRENT OPINION IN PHARMACOLOGY,CURR OPIN PHARMACOL,PHARMACOLOGY & PHARMACY,1471-4892,"6,495",6.313,6.287,5.384,0.971,0.012180,1.665,94.444
543,CEREBRAL CORTEX,CEREB CORTEX,NEUROSCIENCES,1047-3211,"29,570",6.308,5.982,6.800,1.891,0.058970,2.703,90.996
544,BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,IMMUNOLOGY,0889-1591,"12,583",6.306,5.838,6.514,2.05,0.026850,1.935,87.726
544,BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,NEUROSCIENCES,0889-1591,"12,583",6.306,5.838,6.514,2.05,0.026850,1.935,87.726
545,PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1467-7644,"6,544",6.305,5.984,6.107,2.588,0.014270,1.636,94.492
545,PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,PLANT SCIENCES,1467-7644,"6,544",6.305,5.984,6.107,2.588,0.014270,1.636,94.492
546,BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,'BIOCHEMICAL RESEARCH METHODS,1467-5463,"4,731",6.302,6.053,7.065,3.511,0.015010,2.944,96.514
546,BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,'MATHEMATICAL & COMPUTATIONAL BIOLOGY,1467-5463,"4,731",6.302,6.053,7.065,3.511,0.015010,2.944,96.514
547,Molecular Metabolism,MOL METAB,ENDOCRINOLOGY & METABOLISM,2212-8778,"2,403",6.291,5.930,6.748,1.077,0.012250,2.670,90.559
548,CARDIOVASCULAR RESEARCH,CARDIOVASC RES,CARDIAC & CARDIOVASCULAR SYSTEMS,0008-6363,"22,195",6.290,5.486,6.159,2.273,0.027350,1.991,87.891
548,CHEMICAL COMMUNICATIONS,CHEM COMMUN,"CHEMISTRY, MULTIDISCIPLINARY",1359-7345,"190,160",6.290,5.961,6.064,1.4,0.332820,1.436,83.918
550,CLINICAL NUCLEAR MEDICINE,CLIN NUCL MED,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0363-9762,"4,756",6.281,4.107,4.618,1.779,0.006950,0.880,95.703
551,JOURNAL OF MEDICINAL CHEMISTRY,J MED CHEM,"CHEMISTRY, MEDICINAL",0022-2623,"69,725",6.253,5.692,5.900,1.42,0.080720,1.496,95.763
551,JOURNAL OF PATHOLOGY,J PATHOL,ONCOLOGY,0022-3417,"16,156",6.253,6.118,6.675,2.092,0.024060,2.207,90.283
551,JOURNAL OF PATHOLOGY,J PATHOL,PATHOLOGY,0022-3417,"16,156",6.253,6.118,6.675,2.092,0.024060,2.207,90.283
553,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,PEDIATRICS,0890-8567,"19,482",6.250,5.865,8.169,1.303,0.019260,2.912,95.839
553,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,PSYCHIATRY-SSCI,0890-8567,"19,482",6.250,5.865,8.169,1.303,0.019260,2.912,95.839
553,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,PSYCHIATRY-SSCI,0890-8567,"19,482",6.250,5.865,8.169,1.303,0.019260,2.912,95.839
553,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,"PSYCHOLOGY, DEVELOPMENTAL",0890-8567,"19,482",6.250,5.865,8.169,1.303,0.019260,2.912,95.839
555,STROKE,STROKE,CLINICAL NEUROLOGY,0039-2499,"65,854",6.239,5.665,6.610,1.354,0.088520,2.274,93.374
555,STROKE,STROKE,PERIPHERAL VASCULAR DISEASE,0039-2499,"65,854",6.239,5.665,6.610,1.354,0.088520,2.274,93.374
556,Therapeutic Advances in Medical Oncology,THER ADV MED ONCOL,ONCOLOGY,1758-8340,"1,020",6.238,6.190,5.173,0.8,0.002650,1.385,85.811
557,IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,"ENGINEERING, ELECTRICAL & ELECTRONIC",1949-3029,"6,151",6.235,5.699,7.261,1.425,0.018590,1.922,90.654
557,IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,ENERGY & FUELS,1949-3029,"6,151",6.235,5.699,7.261,1.425,0.018590,1.922,90.654
557,IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,1949-3029,"6,151",6.235,5.699,7.261,1.425,0.018590,1.922,90.654
558,Protein & Cell,PROTEIN CELL,CELL BIOLOGY,1674-800X,"2,363",6.228,6.071,4.326,2.25,0.008060,1.500,80.789
559,INVESTIGATIVE RADIOLOGY,INVEST RADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0020-9996,"6,486",6.224,5.329,5.185,1.396,0.012410,1.715,94.922
560,Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1941-9651,"5,438",6.221,5.836,7.503,1.577,0.020160,2.931,90.625
560,Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,CARDIAC & CARDIOVASCULAR SYSTEMS,1941-9651,"5,438",6.221,5.836,7.503,1.577,0.020160,2.931,90.625
561,PERIODONTOLOGY 2000,PERIODONTOL 2000,"DENTISTRY, ORAL SURGERY & MEDICINE",0906-6713,"4,308",6.220,5.366,6.755,2.357,0.004430,1.640,99.451
