Nombre del artículo,DOI,Nombre de la revista,Número de citas,Año de publicación,Id Artículo
Destruction and detection of chemical warfare agents,10.4324/9781003110408-6,Chemical reviews,808,2011,1
Preface: biomimetic inorganic chemistry,10.1021/cr0206364,Chemical Reviews,239,2004,2
Coordination chemistry of lithium ion: a crystal and molecular structure review,10.1002/chin.199139272,Chemical reviews,422,1991,3
Introduction to metal–organic frameworks,10.1002/9781119460237.ch1,Chemical reviews,5591,2012,4
Recent advances in the chemistry of unsaturated lactones,10.1002/chin.197706178,Chemical Reviews,757,1976,5
"Coordination chemistry of thioethers, selenoethers, and telluroethers in transition-metal complexes",10.1021/cr00044a003,Chemical Reviews,724,1981,6
Recent advances in the chemistry of carborane metal complexes incorporating d-and f-block elements,10.1002/chin.199331295,Chemical reviews,294,1993,7
Chemical inhibitors of protein kinases,10.1021/acschembio.6b01083.s001,Chemical reviews,439,2001,8
Polyoxometalates in medicine,10.26599/pom.2022.9140014,Chemical Reviews,2041,1998,9
Quantum mechanical continuum solvation models,10.1002/chin.200542292,Chemical reviews,15101,2005,10
Experimental investigation of radiative association processes as related to interstellar chemistry,10.1021/cr00015a003,Chemical Reviews,355,1992,11
Review on modern advances of chemical methods for the introduction of a phosphonic acid group,10.1021/cr2002646,Chemical reviews,498,2011,12
Chemistry of spiroketals,10.1002/chin.199015338,Chemical Reviews,799,1989,13
Newer aspects of the synthesis and chemistry of nitroxide spin labels,10.1002/chin.197823359,Chemical reviews,506,1978,14
Organometallic chemistry of vinylidene and related unsaturated carbenes,10.1002/chin.199139315,Chemical Reviews,1260,1991,15
Chemical composition of tobacco and tobacco smoke,10.1007/978-1-4757-0462-4_9,Chemical reviews,992,1968,16
Chemistry of phosgene,10.1016/s0082-495x(07)80025-4,Chemical reviews,405,1973,17
Recent advances in poly (pyrazolyl) borate (scorpionate) chemistry,10.1002/chin.199331333,Chemical Reviews,1839,1993,18
Recent advances in the chemistry of nitrogen fixation,10.1016/b978-0-08-023942-2.50020-1,Chemical reviews,947,1978,19
Chemistry and structural chemistry of phosphides and polyphosphides. 48. Bridging chasms with polyphosphides,10.1021/cr00083a012,Chemical Reviews,494,1988,20
Introduction and general overview of cyclodextrin chemistry,10.1002/chin.199839312,Chemical reviews,5894,1998,21
Recent developments in the chemistry of polyvalent iodine compounds,10.1002/chin.200238268,Chemical reviews,1470,2002,22
