DOI,Título,Autores,Año,Citas,Revista
10.1504/ijdmmm.2013.055863,SNP locator: a candidate SNP selection tool,José A. Seoane and Vanessa Aguiar Pulido and Alba Cabarcos and Sonsoles Quintela and Juan Ramon Rabuñal and Julián Dorado,2013,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2020.106729,Emotion mining from text for actionable recommendations detailed survey,Jaishree Ranganathan and Angelina A. Tzacheva,2020,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2010.033538,Extended K-modes with new weighted measure based on the domains,S. Aranganayagi and K. Thangavel,2010,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2021.112913,An ontology-based modelling and reasoning for alerts correlation,Tayeb Kenaza,2021,2,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2013.051922,GeoTNavi - smart navigation using geo-temporal traffic information,Shawn Wang and Susamma Barua and Kunal Desai and Swaroop Deshmukh,2013,1,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2009.029032,Locally application of random subspace with simple Bayesian classifier,Sotiris B. Kotsiantis,2009,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2017.088415,The dynamics of Wikipedia article revisions: an analysis of revision activities and patterns,Zhongming Ma and Jie Tao and Jing Hu,2017,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2016.081244,An efficient method for discovery of large item sets,Deepa S. Deshpande,2016,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2014.059981,Improving Bregman k-means,Wesam Ashour and Colin Fyfe,2014,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2018.092533,An efficient context-aware agglomerative fuzzy clustering framework for plagiarism detection,Anirban Chakrabarty and Sudipta Roy,2018,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2011.041494,Privacy preserving association rules mining on distributed homogenous databases,Mahmoud Hussein and Ashraf El Sisi and Nabil Ismail,2011,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2017.088411,Hybrid feature selection methods for high-dimensional multi-class datasets,Amit Kumar Saxena and Vimal Kumar Dubey and John Wang,2017,1,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2019.100385,A grammar-based approach for XML schema extraction and heterogeneous document integration,Prudhvi Janga and Karen C. Davis,2019,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2014.065147,Dynamic anonymisation techniques analogy for multiple releases of data,Preeti Gupta and Vishal Bhatnagar,2014,1,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2014.063198,Recognition of signed expressions using visually-oriented subunits obtained by an immune-based optimisation,Mariusz Oszust and Marian Wysocki,2014,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2019.100384,Allegories for database modelling,Bartosz Zieliński and Paweł Maślanka and N.A. � and cibor Sobieski,2019,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2018.095352,Prototype-based classification and error analysis under bootstrapping strategy,Doosung Hwang and Youngju Son,2018,2,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2010.032146,Entity relationship modelling of business rules: an Oracle prototype,Rajeev Kaula,2010,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2012.049880,Goodman-Kruskal measure associated clustering for categorical data,Wenxue Huang and Yuanyi Pan and Jianhong Wu,2012,2,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2012.045137,Application of standalone system and hybrid system for fault diagnosis of centrifugal pump using time domain signals and statistical features,N.R. Sakthivel and Binoy B. Nair and V. Sugumaran and Rajakumar S. Roy,2012,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2013.053693,What do you think about this photo? A novel approach to opinion and sentiment analysis of photo comments,Slava Kisilevich and Christian Rohrdantz and Veronica Maidel and Daniel Keim,2013,2,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2022.123357,Time-series gradient boosting tree for stock price prediction,Kei Nakagawa and Kenichi Yoshida,2022,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2008.022539,Combining multiple classifiers for wrapper feature selection,Kyriacos Chrysostomou and Sherry Y. Chen and Xiaohui Liu,2008,12,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2013.051920,Mining strongly correlated item pairs in large transaction databases,Swarup Roy and Dhruba Kr Bhattacharyya,2013,1,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2013.051923,MapIt: a case study for location driven knowledge discovery and mining,Satyen Abrol and Latifur Khan and Fahad T. Bin Muhaya,2013,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2009.029030,Data chain management for planning in city logistics,Jan Fabian Ehmke and Stephan Meisel and Stefan Engelmann and Dirk Christian Mattfeld,2009,11,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2011.041493,Efficient evaluation of partially-dimensional range queries in large OLAP datasets,Yaokai Feng and Kunihiko Kaneko and Akifumi Makinouchi,2011,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2013.057682,A new memetic approach for the classification rules extraction problem,Sadjia Benkhider and Habiba Drias,2013,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2015.067634,An open multi-tier architecture for high-performance data mining using SOA,Muhammad Mushfiqur Rahman and Maksud Ul Alam and S.M. Monzurur Rahman,2015,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2012.045134,Bilateral semantic negotiation: a decentralised approach to ontology enrichment in open multi-agent systems,Pasquale De Meo and Giovanni Quattrone and Domenico Rosaci and Domenico Ursino,2012,7,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2022.122037,Arabic text semantic-based query expansion,Nuhu Yusuf and Mohd Amin Mohd Yunus and Norfaradilla Wahid and Aida Mustapha and Nazri Mohd Nawi and Noor Azah Samsudin,2022,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2008.022538,Mining event histories: a social science perspective,Gilbert Ritschard and Alexis Gabadinho and Nicolas S. Muller and Matthias Studer,2008,10,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2020.10027274,An insight into application of big data analytics in healthcare,Sravani Nalluri and R. Sasikala,2020,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2020.10028054,A support architecture to MDA contribution for data mining,Fatima Meskine and Safia Nait Bahloul,2020,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2021.10043318,Modelling and visualising emotions in Twitter feeds,Abhishek Tripathi and Satish M. Srinivasan and Ruchika Chari,2021,0,"International Journal of Data Mining, Modelling and Management"
10.1504/ijdmmm.2019.10023729,Fast parallel PageRank technique for detecting spam web pages,Hema Dubey and Nilay Khare,2019,0,"International Journal of Data Mining, Modelling and Management"
