DOI,Título,Autores,Año,Citas,Revista
10.1504/ijbm.2023.129227,Face recognition under large age gap using age face generation,Rajesh Kumar Tripathi and Anand Singh Jalal,2023,0,International Journal of Biometrics
10.1504/ijbm.2023.129217,Deep architecture-based face spoofing identification in real-time application,Mayank Kumar Rusia and Dushyant Kumar Singh,2023,0,International Journal of Biometrics
10.1504/ijbm.2023.129216,Recognition method of basketball players' throwing action based on image segmentation,Cong Zhang and Miao Wang and Limin Zhou,2023,0,International Journal of Biometrics
10.1504/ijbm.2022.10047593,Identification based on feature fusion of multimodal biometrics and deep learning,Christophe Charrier and Abdelatif Rahmoun and Freha Mezzoudj and Chahreddine Medjahed,2022,0,International Journal of Biometrics
10.1504/ijbm.2011.040819,How to handle missing data in robust multi-biometrics verification,Jingyan Wang and Yongping Li and Chao Wang,2011,2,International Journal of Biometrics
10.1504/ijbm.2011.039413,Biometric cards with advanced signing system,Jacek Pomykala and Adam Rosinski,2011,0,International Journal of Biometrics
10.1504/ijbm.2021.114647,Recognition algorithm of athletes' partially occluded face based on a deep learning algorithm,Wenjuan Li and Kevin Millsap,2021,1,International Journal of Biometrics
10.1504/ijbm.2019.100830,An accurate hand-based multimodal biometric recognition system with optimised sum rule for higher security applications,Pallavi D. Deshpande and Prachi Mukherji and Anil S. Tavildar,2019,0,International Journal of Biometrics
10.1504/ijbm.2023.10044757,Vehicle Recognition Using Convolution Neural Network (CNN),Abubakar Chonnoo and Maleika Heenaye Mamode Khan and Oumeir Rengonny,2023,0,International Journal of Biometrics
10.1504/ijbm.2011.042815,Robust video authentication system over internet protocol,Sue Inn Ch'ng; and Kah Phooi Seng and Li Minn Ang and Fong Tien Ong and Yee Wan Wong,2011,1,International Journal of Biometrics
10.1504/ijbm.2015.076136,Fingerprint template protection scheme based on partial minutiae patterns: a comprehensive non-invertibility analysis,Vedrana Krivokuća and Waleed Abdulla,2015,1,International Journal of Biometrics
10.1504/ijbm.2018.095293,Fusing iris and periocular recognition using discrete orthogonal moment-based invariant feature-set,Bineet Kaur and Sukhwinder Singh and Jagdish Kumar,2018,1,International Journal of Biometrics
10.1504/ijbm.2018.090133,A novel fingerprint classification system using BPNN with local binary pattern and weighted PCA,K. Sasirekha and K. Thangavel,2018,1,International Journal of Biometrics
10.1504/ijbm.2014.059636,Random subspace support vector machine ensemble for reliable face recognition,Bailing Zhang,2014,2,International Journal of Biometrics
10.1504/ijbm.2014.059641,A Persian writer identification method using swarm-based feature selection approach,Soheila Sadeghi Ram and Mohsen Ebrahimi Moghaddam,2014,3,International Journal of Biometrics
10.1504/ijbm.2017.086643,Incremental robust principal component analysis for face recognition using ridge regression,Haïfa Nakouri and Mohamed Limam,2017,1,International Journal of Biometrics
10.1504/ijbm.2012.046245,An improved hybrid approach to face recognition by fusing local and global discriminant features,Jamuna Kanta Sing and Shiladitya Chowdhury and Dipak Kumar Basu and Mita Nasipuri,2012,2,International Journal of Biometrics
10.1504/ijbm.2011.039415,Biometrics for non-repudiation: security and legal aspect,Panagiota Lagou and Gregory P. Chondrokoukis,2011,0,International Journal of Biometrics
10.1504/ijbm.2023.10046521,Face Recognition under Large Age Gap using Age Face Generation,Anand S. Jalal and Rajesh Tripathi,2023,0,International Journal of Biometrics
10.1504/ijbm.2016.077148,Novel ear-assisted 3D face recognition under expression variations,Paweł Krotewicz,2016,1,International Journal of Biometrics
10.1504/ijbm.2010.031795,Using Kansei Engineering with new JIT to accomplish cost advantage,Jay Rajasekera and Shantanu Dayal,2010,2,International Journal of Biometrics
10.1504/ijbm.2021.112216,Unconstrained online handwritten Uyghur word recognition based on recurrent neural networks and connectionist temporal classification,Mayire Ibrayim and Wujiahematiti Simayi and Askar Hamdulla,2021,1,International Journal of Biometrics
10.1504/ijbm.2016.10003562,Application of geometry to RGB images for facial landmark localisation - a preliminary approach,Pietro Maroso and Federica Marcolin and Stefano Tornincasa and Enrico Vezzetti,2016,0,International Journal of Biometrics
10.1504/ijbm.2017.10006477,An approach for facial expression classification,Ali Muhamed Ali and Ali K. Ibrahim and Hanqi Zhuang,2017,0,International Journal of Biometrics
10.1504/ijbm.2017.10005056,A fingerprint matching algorithm using bit-plane extraction method with phase-only correlation,David B.L. Bong and Florence Francis Lothai,2017,0,International Journal of Biometrics
10.1504/ijbm.2022.10042834,Euclidean distance versus Manhattan distance for skin detection using the SFA database,Ouarda Soltani and Souad Benabdelkader,2022,0,International Journal of Biometrics
