DOI,Título,Autores,Año,Citas,Revista
10.1007/s12293-015-0154-1,A BBO based framework for natural terrain identification in remote sensing,Arpita Sharma and Samiksha Goel,2015,0,Memetic Computing
10.1007/s12293-016-0204-3,Combined separable signals based neuro-fuzzy Hammerstein–Wiener model,Jia Li and Feng Qiliang,2017,2,Memetic Computing
10.1007/s12293-009-0021-z,Editorial,Meng-Hiot Lim and Steven Gustafson and Natalio Krasnogor and Yew-Soon Ong,2009,1,Memetic Computing
10.1007/s12293-016-0214-1,Intelligent cloud computing,Mario Pavone and Rabie A. Ramadan and Athanasios V. Vasilakos,2016,0,Memetic Computing
10.1007/s12293-010-0054-3,WRAO and OWA learning using Levenberg–Marquardt and genetic algorithms,B. S. U. Mendis and T. D. Gedeon,2011,1,Memetic Computing
10.1007/s12293-020-00310-9,Feature selection based bee swarm meta-heuristic approach for combinatorial optimisation problems: a case-study on MaxSAT,Souhila Sadeg and Leila Hamdad and Hadjer Chettab and Karima Benatchba and Zineb Habbas and M-Tahar Kechadi,2020,4,Memetic Computing
10.1007/s12293-013-0106-6,Erratum to: Architecture for development of adaptive on-line prediction models,Petr Kadlec and Bogdan Gabrys,2013,0,Memetic Computing
10.1007/s12293-015-0159-9,On composing an algorithm portfolio,Shiu Yin Yuen and Xin Zhang,2015,28,Memetic Computing
10.1007/s12293-021-00352-7,Solving vehicle routing problem by memetic search with evolutionary multitasking,Qingxia Shang and Yuxiao Huang and Yu Wang and Min Li and Liang Feng,2022,3,Memetic Computing
10.1007/s12293-013-0125-3,Special issue on advances in nature inspired algorithms for complex numerical optimization problems,Jagdish Chand Bansal and Millie Pant and Kusum Deep and Harish Sharma,2013,0,Memetic Computing
10.1007/s12293-014-0146-6,Editorial,Meng-Hiot Lim and Steve Gustafson and Natalio Krasnogor and Yew-Soon Ong,2014,0,Memetic Computing
10.1007/s12293-022-00370-z,Multiresolution community detection in complex networks by using a decomposition based multiobjective memetic algorithm,Zengyang Shao and Lijia Ma and Yuan Bai and Shanfeng Wang and Qiuzhen Lin and Jianqiang Li,2022,0,Memetic Computing
10.1007/s12293-013-0124-4,Editorial,Meng-Hiot Lim and Steven Gustafson and Natalio Krasnogor and Yew-Soon Ong,2013,0,Memetic Computing
10.1007/s12293-019-00297-y,Thematic issue on “advanced intelligent scheduling algorithms for smart manufacturing systems”,Ling Wang and Guohua Wu and Liang Gao,2019,3,Memetic Computing
10.1007/s12293-018-0263-8,Using genetic programming to evolve action selection rules in traversal-based automated software testing: results obtained with the TESTAR tool,Anna I. Esparcia-Alcázar and Francisco Almenar and Tanja E. J. Vos and Urko Rueda,2018,9,Memetic Computing
10.1007/s12293-009-0018-7,Optimal incremental learning under covariate shift,Koichiro Yamauchi,2009,7,Memetic Computing
10.1007/s12293-013-0126-2,Memetic evolution in the development of proto-language,A. G. Sutcliffe and D. Wang,2014,3,Memetic Computing
10.1007/s12293-012-0082-2,Guest Editorial: Thematic Issue on “Memetic Algorithms: Theory and applications in OR/MS”,Enrique Alba and Mauricio G. C. Resende and María E. Urquhart and Meng-Hiot Lim,2012,1,Memetic Computing
10.1007/s12293-010-0052-5,Guest editorial: uncertainty modelling and intelligent information processing,Kok Wai Wong and László T. Kóczy,2010,0,Memetic Computing
10.1007/s12293-012-0081-3,An immune-inspired instance selection mechanism for supervised classification,Grazziela P. Figueredo and Nelson F. F. Ebecken and Douglas A. Augusto and Helio J. C. Barbosa,2012,11,Memetic Computing
10.1007/s12293-012-0100-4,Meta-heuristic improvements applied for steel sheet incremental cold shaping,José R. Villar and Silvia González and Javier Sedano and Emilio Corchado and Laura Puigpinós and Joaquim de Ciurana,2012,7,Memetic Computing
10.1007/s12293-011-0059-6,Memetic cooperative models for the tool switching problem,Jhon Edgar Amaya and Carlos Cotta and Antonio J. Fernández-Leiva,2011,11,Memetic Computing
