DOI,Título,Autores,Año,Citas,Revista
10.1080/09528130412331297956,On-policy concurrent reinforcement learning,Bikramjit Banerjee and Sandip Sen and Jing Peng,2004,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130120952,Causal reversibility in Bayesian networks,Marek J. Druzdzel and Hans Van Leijen,2001,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130110063083,GD-SAT model and crossover line,Predrag Janičić,2001,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130902823680,Transforming examples for multiclass boosting,Tom Bylander,2010,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1882001,Anytime clustering of data streams while handling noise and concept drift,Jagat Sesh Challa and Poonam Goyal and Ajinkya Kokandakar and Dhananjay Mantri and Pranet Verma and Sundar Balasubramaniam and Navneet Goyal,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1652355,Spectral feature and optimization- based actor-critic neural network for arrhythmia classification using ECG signal,Anoop Vylala and Bipin Plakkottu Radhakrishnan,2020,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130500112429,Co-operation framework of case-based reasoning agents for automated product recommendation,M. O. Baykal and R. Alhajj and F. Polat *,2005,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1148075,Sensor fusion in the epistemic situation calculus,Christoph Schwering and Tim Niemueller and Gerhard Lakemeyer and Nichola Abdo and Wolfram Burgard,2016,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130050111482,Producing mind,Steve Torrance,2000,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.993504,Yet more planning efficiency: Finite-domain state-variable reformulation,Filip Dvořák and Daniel Toropila and Roman Barták,2015,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/095281300409838,Engineering characteristics of autonomous agent architectures,Paul Scerri and Nancy Reed,2000,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130802319243,Beyond red states and blue states in cognitive science,David J. Jilk and Christian Lebiere and Randall C. O’Reilly and John R. Anderson,2008,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1818291,A comprehensive survey on machine learning approaches for dynamic spectrum access in cognitive radio networks,Amandeep Kaur and Krishan Kumar,2022,13,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1744195,Double-quantitative decision rough set over two universes and application to African swine fever decision-making,Xiaoyuan Hu and Bingzhen Sun and Ting Wang and Chao Jiang,2021,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2010.490964,Binocular vergence control using disparity energy neurons,Xuejie Zhang and Leng Phuan Tay,2011,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600975840,Conversational strategies inCOBBER: an affective CCBR framework,H. Gómez-Gauchía and B. Díaz-Agudo and P. A. González-Calero,2006,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.783152,Mind and paradox: paradoxes depend on minds,Paul Saka,2013,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1546769,Experiments with automatic software piracy detection utilising machine-learning classifiers for micro-signatures,Alireza Khalilian and Alireza Mirzaeiyan and Mojtaba Vahidi-Asl and Hassan Haghighi,2019,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/095281300146281,Transcending the meat: immersive technologies and computer mediated bodies,John Sullins,2000,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/095281300146326,Explaining by evidence,Eliezer L. Lozinskii,2000,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1055829,"In defense of philosophy: a review of Nick Bostrom,Superintelligence: Paths, Dangers, Strategies",Joel Thomas,2016,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1806519,Resampling-based noise correction for crowdsourcing,Wenqiang Xu and Liangxiao Jiang and Chaoqun Li,2021,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2153273,A comparison between the Bayesian network model and the logistic regression model in prevention of the defects on ceramic tiles,Volkan Sevinç and Meryem Merve Kırca,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2153274,Evolutionary gravitational neocognitron neural network based block chain technology for a secured dynamic optimal routing in wireless sensor networks,R. Satheeskumar and B. Prakash and S. Velliangiri and Francis H Shajin,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1725649,Robust H∞ performance for discrete time T-S fuzzy switched memristive stochasticneural networks with mixed time-varying delays,R. Vadivel and M. Syed Ali and Young Hoon Joo,2021,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.954632,"On the efficacy of chaos-enhanced heuristic walks with nature-based controllers for robust and accurate intelligent search, part A: an experimental analysis",Ahmad Mozaffari and Mahdi Emami and Nasser L. Azad and Alireza Fathi,2015,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.656327,Quantifying the exploration performed by metaheuristics,Paola Pellegrini and Daniela Favaretto,2012,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1654549,Measuring the complexity of migration transition: an attempt using metrics,Harjot Kaur and Karanjeet Singh Kahlon,2020,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.693666,Inspirational anchors: minimal computational models in cognitive science,Whit Schonbein,2012,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.695444,Game theoretic equilibria and the evolution of learning,Rory Smead,2012,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.782345,Bayesian network classifiers for probability-based metrics,Chaoqun Li and Hongwei Li,2013,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1020573,A new efficient SIF-based FCIL (SIF–FCIL) mining algorithm in predicting the crime locations,R. Sujatha and D. Ezhilmaran,2016,8,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1964614,A new hierarchical temporal memory based on recurrent learning unit,Dejiao Niu and Le Yang and Tianquan Liu and Tao Cai and Shijie Zhou and Lei Li,2021,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2010.506303,Incorporating cellular sorting structure for better prediction of protein subcellular locations,Wen-Yun Yang and Bao-Liang Lu and James T. Kwok,2011,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.963389,Corrigendum,,2014,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.924576,"ICE matching, robust and fast feature-based scan matching for an online operation",Maziar Ahmad Sharbafi and Sanaz Taleghani and Edris Esmaeili,2015,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
