DOI,Título,Autores,Año,Citas,Revista
10.3906/elk-1312-268,A new method for accurate estimation of PV module parameters and extraction of maximum power point under varying environmental conditions,Mohamed Saleem ABDUL KAREEM and Manimaran SARAVANAN,2016,11,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1312-140,A novel approach of design and analysis of fractal antenna using a neurocomputational method for reconfigurable RF MEMS antenna,Paras CHAWLA and Rajesh KHANNA,2016,2,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1704-126,A cooperative neural network approach for enhancing data traffic prediction,Salihu Aish ABDULKARIM and Isa Abdullahi LAWAL,2017,4,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1204-56,A novel efficient model for the power flow analysis of power systems,Amir SAFDARIAN and Mahmud FOTUHI-FIRUZABAD and Farrokh AMINIFAR,2015,12,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1204-63,A video-based eye pupil detection system for diagnosing bipolar disorder,Gökay AKINCI and Ediz POLAT and Orhan Murat KOÇAK,2013,5,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1405-79,Design of a three-phase multistage axial flux permanent magnet generator for wind turbine applications,Muhammad Mansoor ASHRAF and Tahir NADEEM MALIK,2017,7,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1612-178,An ant colony optimization algorithm-based classification for the diagnosis of primary headaches using a website questionnaire expert system,Ufuk ÇELİK and Nilufer YURTAY,2017,9,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1612-206,Probabilistic day-ahead system marginal price forecasting with ANN for the Turkish electricity market,Erdem ÖZGÜNER and Osman Bülent TÖR and Ali Nezih GÜVEN,2017,4,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1412-169,An HF/UHF dual mode RFID transponder antenna and HF range extension using UHF wireless power transmission,Mustafa Murat BİLGİÇ and Korkut YEĞİN,2016,6,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1607-2,Bandwidth allocation for multiple IPTV users sharing the same link: a case study of Telecom of Kosovo,Arianit MARAJ and Adrian SHEHU and Dardan MARAJ and Ruzhdi SEFA,2017,2,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1407-21,A current-based simple analog MPPT circuit for PV systems,Bülent BÜYÜKGÜZEL and Murat AKSOY,2016,8,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1407-24,Design of low power CMOS LC VCO for direct conversion transceiver,Manjula SANKARARAJU and Selvathi DHARMAR,2016,3,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1602-341,A novel approach for extracting ideal exemplars by clustering for massivetime-ordered datasets,Ömer Faruk ERTUĞRUL,2017,1,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1511-99,k-NN-based classification of sleep apnea types using ECG,Oğuzhan TİMUŞ and Emine DOĞRU BOLAT,2017,13,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1309-242,Comparative performance evaluation of blast furnace flame temperature prediction using artificial intelligence and statistical methods,Yasin TUNÇKAYA and Etem KÖKLÜKAYA,2016,19,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1410-3,Electric arc furnace power quality improvement by applying a new digital and predicted-based TSC control,Mehdi TORABIAN ESFAHANI and Behrooz VAHIDI,2016,2,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1204-1,A novel hybrid recurrent wavelet neural network control of permanent magnet synchronous motor drive for electric scooter,Chih-Hong LIN,2014,9,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
10.3906/elk-1703-224,Model-free approach based on intelligent PD controller for vertical motion reduction in fast ferries,Mounia TICHERFATINE and Zhu QIDAN,2018,6,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES
