DOI,Título,Autores,Año,Citas,Revista
10.1080/08839514.2013.805599,A SHORT-TERM FORECASTING MODEL WITH INHIBITING NORMAL DISTRIBUTION NOISE OF SALE SERIES,Hong-Sen Yan and Qi Wu and Xin Tu,2013,5,Applied Artificial Intelligence
10.1080/088395101750364000,ANNOUNCEMENT,,2001,0,Applied Artificial Intelligence
10.1080/08839514.2018.1451214,A Comparative Study of Classical Clustering Method and Cuckoo Search Approach for Satellite Image Clustering: Application to Water Body Extraction,Kaouter Labed and Hadria Fizazi and Habib Mahi and Inés M. Galvan,2018,7,Applied Artificial Intelligence
10.1080/08839510500313711,INFERRING AND REVISING THEORIES WITH CONFIDENCE: ANALYZING BILINGUALISM IN THE 1901 CANADIAN CENSUS,Chris Drummond and Stan Matwin and Chad Gaffield,2006,2,Applied Artificial Intelligence
10.1080/08839514.2020.1795786,Optimal Sizing of Recycling Folded Cascode Amplifier for Low Frequency Applications Using New Hybrid Swarm Intelligence-Based Technique,Naushad Manzoor Laskar and Koushik Guha and Sourav Nath and K.L. Baishnab and P.K. Paul,2020,0,Applied Artificial Intelligence
10.1080/08839514.2020.1790163,Optimal Sizing of Recycling Folded Cascode Amplifier for Low-Frequency Applications Using New Hybrid Swarm Intelligence-Based Technique,Naushad Manzoor Laskar and Koushik Guha and Sourav Nath and K.L. Baishnab and P.K. Paul,2020,0,Applied Artificial Intelligence
10.1080/08839510290030264,Discovering causality in large databases,Shichao Zhang and Chengqi Zhang,2002,7,Applied Artificial Intelligence
10.1080/08839511003715212,A MULTIAGENT ARCHITECTURE FOR 3D RENDERING OPTIMIZATION,Carlos Gonzalez-Morcillo and Gerhard Weiss and David Vallejo and Luis Jimenez-Linares and Jose Jesus Castro-Schez,2010,6,Applied Artificial Intelligence
10.1080/08839514.2016.1196570,"Improving Readability through Individualized Summary Extraction, Using Interactive Genetic Algorithm",K. Nandhini and S. R. Balasundaram,2016,1,Applied Artificial Intelligence
10.1080/08839514.2017.1279110,Polynomial and Extensible Solutions in Lock-Chart Solving,Radomír Černoch and Ondřej Kuželka and Filip Železný,2017,0,Applied Artificial Intelligence
10.1080/088395101753210755,A neuro-fuzzy hybrid scheme for design and simulation of human machine systems,X. F. Zha,2001,4,Applied Artificial Intelligence
10.1080/08839514.2012.670975,ESTIMATION OF SOLID WASTE BIOMETHANIZATION: DEVELOPMENT OF NOVEL METHODOLOGY AND ANFIS MODELS,C. Mañón-Salas and E. L. Moreno-Goytia and Ma. C. Hernández-Berriel and L. Marquez-Benavides,2012,0,Applied Artificial Intelligence
10.1080/08839510701526582,KNOWLEDGE-BASED VALIDATION FOR HYDROLOGICAL INFORMATION SYSTEMS,Ricardo Conejo and Eduardo Guzmán and José-Luis Pérez-de-la-Cruz,2007,1,Applied Artificial Intelligence
10.1080/08839514.2010.481492,COMPONENT-BASED MODELS AND SIMULATIONS FOR SUPPORTING VALID MULTI-AGENT SYSTEM SIMULATIONS,J. Himmelspach and M. Röhl and A. M. Uhrmacher,2010,4,Applied Artificial Intelligence
10.1080/08839514.2016.1193713,Intelligent Methods Applied to Health-Care Information Systems,Bogusław Cyganek and Manuel Graña and Piotr Porwik and Michał Woźniak,2016,2,Applied Artificial Intelligence
10.1080/08839514.2013.760403,INVESTIGATION ON MAMMOGRAPHIC IMAGE COMPRESSION AND MICROCALCIFICATION ANALYSIS USING MULTIWAVELETS AND NEURAL NETWORKS,U. S. Ragupathy and A. Tamilarasi and K. Thangavel,2013,0,Applied Artificial Intelligence
10.1080/08839514.2013.823324,AN ANALYSIS OF THE IMPACT OF THE INITIAL SAMPLE ON EVOLUTIONARY METAMODEL-ASSISTED OPTIMIZATION,Yoel Tenne,2013,2,Applied Artificial Intelligence
10.1080/713827178,Numeric mapping and learnability of naive bayes,Harry Zhang and Charles X. Ling,2003,1,Applied Artificial Intelligence
10.1080/08839510802028447,CRAWLING THE CONSTRUCTION WEB – A MACHINE-LEARNING APPROACH WITHOUT NEGATIVE EXAMPLES,Miloš Kovačević and Colin H. Davidson,2008,0,Applied Artificial Intelligence
10.1080/08839510150204581,Editorial: Why coordination models and languages in ai?,Andrea Omicini and George A. Papadopoulos,2001,6,Applied Artificial Intelligence
10.1080/08839514.2021.2014191,Hand Gesture Recognition of Methods-Time Measurement-1 Motions in Manual Assembly Tasks Using Graph Convolutional Networks,Alexander Riedel and Nico Brehm and Tobias Pfeifroth,2022,1,Applied Artificial Intelligence
10.1080/08839510802700847,ENSEMBLING REGRESSION MODELS TO IMPROVE THEIR PREDICTIVITY: A CASE STUDY IN QSAR (QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIPS) WITH COMPUTATIONAL CHEMOMETRICS,Giuseppina Gini and Tushar Garg and Marco Stefanelli,2009,12,Applied Artificial Intelligence
10.1080/08839514.2020.1771837,Multi-Agent Cooperation for an Active Perception Based on Driving Behavior: Application in a Car-Following Behavior,Anouer Bennajeh and Slim Bechikh and Lamjed Ben Said and Samir Aknine,2020,2,Applied Artificial Intelligence
10.1080/088395101753242688,Agent interaction for bioinformatics data management,K. Bryson and M. Luck and M. Joy and D. T. Jones,2001,8,Applied Artificial Intelligence
10.1080/08839514.2021.1982475,A Hybrid Machine Learning Model for Credit Approval,Cheng-Hsiung Weng and Cheng-Kui Huang,2021,1,Applied Artificial Intelligence
10.1080/08839514.2022.2151185,Convolutional Neural Networks Improve Radiologists’ Performance in Breast Cancer Screening for Vietnamese patients,Bui My Hanh and Le Tuan Linh and Nguyen Ngoc Cuong and Thanh Binh Nguyen and Luu Tien Doan and Chung Duy Le and Vu Tat Giao and Thi Ly Ly Ngo and Thi Hong Xuyen Hoang and Nguyen Duc Thang and Nguyen Tu Anh and Nguyen Duc Dan and Nguyen Viet Dung and Tran Vinh Duc and Quang H. Nguyen and Anh Nguyen and Nguyen Hoang Phuong,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2151171,Analysis of Proposed and Traditional Boosting Algorithm with Standalone Classification Methods for Classifying Gene Expresssion Microarray Data Using a Reject Option,Adil Aslam Mir and Lal Hussain and Muhammad Hammad Waseem and Amjad Aldweesh and Saim Rasheed and El Sayed Yousef and Malik Sajjad Ahmed Nadeem and Elsayed Tag Eldin,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2145639,HR-Specific NLP for the Homogeneous Classification of Declared and Inferred Skills,Lorenzo Ricciardi Celsi and Jesus Fernando Cevallos Moreno and Federico Kieffer and Valerio Paduano,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2151183,Emergent behavior in the battle management system,Aleksandar Seizovic and David Thorpe and Steven Goh,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2145638,Face mask recognition system using MobileNetV2 with optimization function,Atheer Hadi Issa Al-Rammahi,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2145640,Pre Synthesis and Post Synthesis Power Estimation of VLSI Circuits Using Machine Learning Approach,E Poovannan and S Karthik,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2073722,An Unsupervised Detection Method for Multiple Abnormal Wi-Fi Access Points in Large-Scale Wireless Network,Song Chen and Hai Liao,2022,0,Applied Artificial Intelligence
10.1080/08839514.2021.2023390,Causal Structure Learning Algorithm Based on Partial Rank Correlation under Additive Noise Model,Jing Yang and Liufeng Jiang and Kai Xie and Qiqi Chen and Aiguo Wang,2022,0,Applied Artificial Intelligence
10.1080/08839514.2021.2005297,A Comparative Study on Performance of SVM and CNN in Tanzania Sign Language Translation Using Image Recognition,Kasian Myagila and Hassan Kilavo,2022,1,Applied Artificial Intelligence
10.1080/08839514.2022.2131056,Variational Autoencoder for Classification and Regression for Out-of-Distribution Detection in Learning-Enabled Cyber-Physical Systems,Feiyang Cai and Ali I. Ozdagli and Xenofon Koutsoukos,2022,0,Applied Artificial Intelligence
10.1080/08839514.2021.2008613,Watermarking of Deep Recurrent Neural Network Using Adversarial Examples to Protect Intellectual Property,Pulkit Rathi and Saumya Bhadauria and Sugandha Rathi,2022,0,Applied Artificial Intelligence
10.1080/08839514.2021.2020489,Classification of the Insureds Using Integrated Machine Learning Algorithms: A Comparative Study,Mohamed Hanafy and Ruixing Ming,2022,1,Applied Artificial Intelligence
10.1080/08839514.2022.2055396,Research on Multi-side Joint Industrial Parts Inspection Based on Model Fusion,Lei Jiao and Xuesong Lin and Kang An and Yaqing Song and Yingyuan Liu and Hui Liu and Hai Nan,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2127598,Text Classification of Conversational Implicatures Based on Lexical Features,Xianbo Li,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2084477,Fuzzy Closed Filters in Bounded BE-Algebras,Gerima Tefera and Mohammed Adem,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2138129,On the performance analysis of solving the Rubik’s cube using swarm intelligence algorithms,Jishnu Jeevan and Madhu S. Nair,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2110695,Multimodal Failure Matching Point Based Motion Object Saliency Detection for Unconstrained Videos,Jiang Qian and Jingkang Wei and Hui Chen and Gongping Chen,2022,0,Applied Artificial Intelligence
10.1080/08839514.2022.2055989,Using a Layered Ensemble of Physics-Guided Graph Attention Networks to Predict COVID-19 Trends,Connie Sun and Vijayalakshmi K. Kumarasamy and Yu Liang and Dalei Wu and Yingfeng Wang,2022,0,Applied Artificial Intelligence
