DOI,Título,Autores,Año,Citas,Revista
10.3233/ica-2000-7305,Chaotic episodic associative memory,Junya Kitada and Yuko Osana and Masafumi Hagiwara,2000,0,Integrated Computer-Aided Engineering
10.3233/ica-2008-15407,Rule-based dependency models for security protocol analysis,Qingfeng Chen and Shichao Zhang and Yi-Ping Phoebe Chen,2008,2,Integrated Computer-Aided Engineering
10.3233/ica-2001-8405,Towards vision application adaptable parallel computer,Franck Amiot and Edwige Pissaloux,2001,0,Integrated Computer-Aided Engineering
10.3233/ica-2010-0330,Implementation methodology of embedded land vehicle positioning using an integrated GPS and multi sensor system,Azizul Islam and Umar Iqbal and J.M. Pierre Langlois and Aboelmagd Noureldin,2010,10,Integrated Computer-Aided Engineering
10.3233/ica-200642,An outstanding platform for ground-breaking cross-disciplinary research,,2020,0,Integrated Computer-Aided Engineering
10.3233/ica-2012-0409,Efficient blind image deconvolution using spectral non-Gaussianity,Aftab Khan and Hujun Yin,2012,5,Integrated Computer-Aided Engineering
10.3233/ica-210658,A Must-read Journal for Engineering,Arturo de la Escalera Hueso,2021,0,Integrated Computer-Aided Engineering
10.3233/ica-2010-0349,A qualitative agent-based approach to power quality monitoring and diagnosis,Maria J. Santofimia and Xavier del Toro and Pedro Roncero-Sánchez and Francisco Moya and Miguel A. Martinez and Juan C. Lopez,2010,8,Integrated Computer-Aided Engineering
10.3233/ica-2003-10109,Multirate spectral analysis for passive sonar,J. Woodard and J. Creekmore,2003,1,Integrated Computer-Aided Engineering
10.3233/ica-2007-14108,Application of transferable belief model to navigation system,Khalid Touil and Mourad Zribi and Mohammed Benjelloun,2007,2,Integrated Computer-Aided Engineering
10.3233/ica-2011-0367,Spatio-temporal resolution enhancement of vocal tract MRI sequences based on image registration,Ana L.D. Martins and Nelson D.A. Mascarenhas and Cláudio A.T. Suazo,2011,10,Integrated Computer-Aided Engineering
