DOI,Título,Autores,Año,Citas,Revista
10.4018/ijswis.2015010103,Complex Role Inclusions with Role Chains on the Right are Expressible in SROIQ,Michael Compton,2015,1,International Journal on Semantic Web and Information Systems
10.4018/jswis.2005070102,General Adaption Framework,Olena Kaykova and Oleksiy Khriyenko and Dmytro Kovtun and Anton Naumenko and Vagan Terziyan and Andriy Zharko,2005,10,International Journal on Semantic Web and Information Systems
10.4018/jswis.2008010101,Semantic Web Services and Mobile Agents Integration for Efficient Mobile Services,Vasileios Baousis and Vassili Spiliopoulos and Elias Zavitsanos and Stathes Hadjiefthymiades and Lazaros Merakos,2008,2,International Journal on Semantic Web and Information Systems
10.4018/jswis.2008010103,Bringing Semantic Services to Real-World Objects,Massimo Paolucci and Gregor Broll and John Hamard and Enrico Rukzio and Matthew Wagner and Albrect Schmidt,2008,2,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20100101,n.m.,,2010,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20061001,n.m.,,2006,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20080701,n.m.,,2008,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20080401,n.m.,,2008,0,International Journal on Semantic Web and Information Systems
10.4018/jswis.20110401,n.m.,,2011,0,International Journal on Semantic Web and Information Systems
10.4018/jswis.20100401,n.m.,,2010,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20130401,n.m.,,2013,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20120701,n.m.,,2012,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20120401,n.m.,,2012,0,International Journal on Semantic Web and Information Systems
10.4018/ijswis.313190,Spatial Patterns and Development Characteristics of China's Postgraduate Education,Ping Li and Haidong Zhong and Justin Zuopeng Zhang,2022,9,International Journal on Semantic Web and Information Systems
10.4018/ijswis.20050101,n.m.,,2005,0,International Journal on Semantic Web and Information Systems
